lambda,exp,seed,dynamic_partition_mean_jct,decima_mean_jct,delta_dynamic_partition_minus_decima
1.5,19,10000019,4086562.8656068267,2902683.0219624303,1183879.8436443964
1.5,20,10000020,3343734.945649678,2523119.893285339,820615.0523643387
1.5,21,10000021,3429255.8160257083,2451288.327512781,977967.4885129272
1.5,22,10000022,4341472.115478951,3032140.6301407614,1309331.4853381892
1.5,23,10000023,3569490.197062541,2686675.865553436,882814.3315091049
1.5,24,10000024,4446816.146086834,3178730.3047715584,1268085.841315276
1.5,25,10000025,3363091.881580768,2493940.3858962893,869151.4956844789
1.5,26,10000026,3873966.6166608855,2783841.3409236316,1090125.275737254
1.5,27,10000027,3298851.561205831,2465093.8880810286,833757.6731248023
1.5,28,10000028,4283071.828329253,3033826.037395655,1249245.7909335978
1.5,29,10000029,3553049.359546251,2442806.262442633,1110243.097103618
2.0,0,10000000,5607606.219630873,3990313.791487735,1617292.4281431376
2.0,1,10000001,4816431.240735986,3842308.2329474455,974123.0077885408
2.0,2,10000002,5568624.498745264,4016921.6448656255,1551702.853879638
2.0,3,10000003,4870637.681538705,3931333.007900364,939304.6736383406
2.0,4,10000004,5278416.258053499,4058734.163978288,1219682.0940752113
2.0,5,10000005,6006664.785099636,4197358.746099306,1809306.0390003296
2.0,6,10000006,4924498.32231776,3502087.237708911,1422411.0846088496
2.0,7,10000007,5717194.327919931,4028083.986581647,1689110.3413382843
2.0,8,10000008,4771061.712785876,3275776.563658474,1495285.1491274023
2.0,9,10000009,5841700.4891565,3906152.497227412,1935547.9919290883
2.0,10,10000010,6078368.397398719,4124933.9588042363,1953434.4385944824
2.0,11,10000011,5134389.843990734,3507099.5150881857,1627290.3289025482
2.0,12,10000012,5450943.454389606,3820761.0310441754,1630182.4233454303
2.0,13,10000013,5494482.372214329,3739817.8649482126,1754664.5072661168
2.0,14,10000014,4933716.40031691,3839400.4275601776,1094315.9727567323
2.0,15,10000015,5069276.503585672,3788591.1287241364,1280685.3748615356
2.0,16,10000016,4982510.003158444,3749445.6920822966,1233064.311076147
2.0,17,10000017,5202789.031763506,3695207.691932944,1507581.339830562
2.0,18,10000018,5761273.132087608,3868326.831667722,1892946.3004198857
2.0,19,10000019,5732145.89795051,4243954.757198122,1488191.1407523872
2.0,20,10000020,4860854.424540766,3849500.2340535205,1011354.1904872451
2.0,21,10000021,5008375.863953028,3736701.4979149583,1271674.3660380696
2.0,22,10000022,6022451.824399545,4390518.573162648,1631933.251236897
2.0,23,10000023,5168170.468890935,4030266.088791094,1137904.3800998414
2.0,24,10000024,6274312.721123014,4727051.59849411,1547261.122628904
2.0,25,10000025,4995904.296094321,3779051.998780311,1216852.2973140096
2.0,26,10000026,5484417.014146881,4058448.9166130912,1425968.09753379
2.0,27,10000027,4787446.814030187,3773310.672524459,1014136.141505728
2.0,28,10000028,6062510.138941499,4469128.77647038,1593381.3624711195
2.0,29,10000029,5184074.632736634,3806502.6521494216,1377571.9805872128
