hpa_total_cost,hpa_sla_violation_rate,hpa_action_churn,hpa_mean_replicas,hpa_replica_std,hpa_replica_min,hpa_replica_max,config_key,config_label,target_utilization,scale_down_stabilization_seconds,cell,cell_label,seed_index,offset,rossi_total_cost,delta_hpa_minus_rossi
172.224,0.00024993751562109475,125.0,4.757810547363159,2.005760164286739,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,11,152038,233.73909999999995,-61.51509999999996
163.044,0.0,110.0,4.527868032991752,1.8944361843214035,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,12,180045,220.19819999999999,-57.154199999999975
174.789,0.00024993751562109475,127.0,4.829042739315171,1.8891463918660245,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,13,184046,210.76399999999995,-35.974999999999966
175.419,0.00024993751562109475,113.0,4.846538365408648,1.8444763798463981,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,14,192048,225.31569999999996,-49.89669999999995
170.559,0.00024993751562109475,99.0,4.711572106973256,1.8647839547953722,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,15,224056,224.80619999999996,-54.247199999999964
149.454,0.00024993751562109475,101.0,4.125468632841789,1.7491394496651094,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,16,240060,194.10769999999997,-44.65369999999996
155.079,0.0,109.0,4.306673331667083,1.5771988037322686,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,17,248062,185.038,-29.959000000000003
163.269,0.00024993751562109475,97.0,4.50912271932017,1.6308937125425438,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,18,256064,220.04359999999997,-56.774599999999964
141.489,0.00024993751562109475,99.0,3.9042739315171207,1.6370443642064711,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,19,260065,187.67849999999999,-46.18949999999998
165.114,0.00024993751562109475,121.0,4.560359910022495,1.7814670539239108,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,20,276069,212.84449999999998,-47.73049999999998
135.729,0.00024993751562109475,85.0,3.74431392151962,1.4374775476520116,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,21,348087,177.72899999999998,-41.99999999999997
141.714,0.00024993751562109475,107.0,3.9105223694076483,1.5707879896201462,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,22,380095,187.8707,-46.1567
160.43400000000003,0.00024993751562109475,97.0,4.4303924018995255,1.7342041993176647,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,23,392098,210.4859,-50.05189999999996
174.024,0.0,112.0,4.8327918020494876,1.8052616670364323,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,24,396099,237.5504,-63.526399999999995
159.12900000000002,0.0,78.0,4.419145213696575,1.848829042110431,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,25,432108,243.09390000000002,-83.9649
171.99900000000002,0.00024993751562109475,119.0,4.751562109472632,1.6436507497814536,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,26,436109,202.13129999999998,-30.132299999999958
170.739,0.00024993751562109475,115.0,4.716570857285679,1.8635395469722955,1.0,8.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,27,456114,214.68049999999997,-43.94149999999996
154.44899999999998,0.00024993751562109475,83.0,4.264183954011497,1.8858818236011803,1.0,7.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,28,492123,203.618,-49.16900000000001
121.32900000000001,0.00024993751562109475,87.0,3.3444138965258685,1.4955902564182024,1.0,6.0,target_40_down_0,"target=40%, down=0s",0.4,0,p3,P3 bucket-flip epsilon=0.05,29,512128,158.1235,-36.7945
231.66899999999998,0.00024993751562109475,45.0,6.40864783804049,1.199523022842983,1.0,8.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,0,12003,218.3743,13.294699999999978
194.18400000000003,0.00024993751562109475,43.0,5.36765808547863,1.2040271254151833,1.0,7.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,1,28007,193.74349999999998,0.44050000000004275
219.339,0.00024993751562109475,53.0,6.06623344163959,1.3365685282220732,1.0,8.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,2,36009,201.1453,18.193700000000007
183.834,0.00024993751562109475,47.0,5.0802299425143715,1.5209317009003134,1.0,7.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,3,56014,199.1798,-15.345799999999997
230.229,0.00024993751562109475,55.0,6.368657835541114,1.4490626202910737,1.0,8.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,4,60015,216.89069999999998,13.338300000000032
236.88899999999998,0.00024993751562109475,53.0,6.5536115971007245,1.3329453823234503,1.0,8.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,5,76019,207.0815,29.807499999999976
244.08899999999997,0.00024993751562109475,39.0,6.7535616095976,1.2012044845538916,1.0,9.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,6,84021,229.52589999999998,14.563099999999991
228.519,0.00024993751562109475,47.0,6.321169707573107,1.415123170626899,1.0,8.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,7,96024,222.5847,5.9343000000000075
218.25900000000001,0.00024993751562109475,47.0,6.036240939765059,1.5505918812305133,1.0,8.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,8,116029,200.50019999999998,17.758800000000036
220.779,0.00024993751562109475,45.0,6.106223444138966,1.0941501121616035,1.0,7.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,9,120030,198.69279999999998,22.08620000000002
213.264,0.00024993751562109475,53.0,5.897525618595351,1.1870737508190268,1.0,7.0,target_40_down_300,"target=40%, down=300s",0.4,300,clean,Clean,10,148037,208.0651,5.198900000000009
