M,seed_index,clean_deep_rm_slowdown,clean_source_tetris_slowdown,p3_deep_rm_slowdown,p3_source_tetris_slowdown,deg_M,delta_clean_source_minus_deeprm,delta_p3_source_minus_deeprm
1,18,122.51405927405929,133.89830377955377,120.54027555777557,133.89830377955377,-1.9737837162837195,11.384244505494479,13.358028221778198
1,19,106.14824991674992,106.14278912753913,83.95965484515483,106.14278912753913,-22.18859507159509,-0.005460789210786743,22.1831342823843
1,20,135.44606127206129,131.4818736263736,106.84743423243424,131.4818736263736,-28.598627039627047,-3.964187645687673,24.634439393939374
1,21,88.41308674658674,105.1721038128538,78.45585056610057,105.1721038128538,-9.957236180486177,16.759017066267063,26.71625324675324
1,22,139.7786943889444,132.62804528804529,116.18503488178489,132.62804528804529,-23.5936595071595,-7.150649100899102,16.4430104062604
1,23,122.97215492840492,117.86097577422579,94.13339227439228,117.86097577422579,-28.83876265401264,-5.111179154179126,23.727583499833514
1,24,110.83572460872459,115.32266941391943,99.09467865467866,115.32266941391943,-11.74104595404593,4.486944805194838,16.227990759240768
1,25,95.9502256077256,96.6505854978355,75.31296528471529,96.6505854978355,-20.63726032301031,0.700359890109894,21.337620213120204
1,26,43.71637712287712,60.53127289377289,45.84565134865135,60.53127289377289,2.129274225774232,16.814895770895774,14.685621545121542
1,27,103.40325749250749,111.25906318681318,94.68459390609391,111.25906318681318,-8.718663586413584,7.855805694305687,16.57446928071927
1,28,130.568411005661,115.55003663003663,104.17056376956378,115.55003663003663,-26.39784723609722,-15.018374375624376,11.379472860472845
1,29,108.49114535464534,112.18122935397936,97.96367066267067,112.18122935397936,-10.527474691974675,3.6900839993340213,14.217558691308696
