cell,window_index,offset,method,n_steps,sla_sum,resource_sum,adaptation_nonnoop_sum,source_vertical_sum,action_change_sum,sla_rate,resource_mean,adaptation_nonnoop_rate,source_vertical_rate,action_change_rate
clean,23,392098,rossi,4001.0,152.0,949.16,2073.0,113.0,2116.0,0.0379905023744064,0.23723069232691826,0.5181204698825294,0.028242939265183703,0.529
clean,23,392098,threshold,4001.0,2.0,1313.2,34.0,0.0,65.0,0.0004998750312421895,0.3282179455136216,0.00849787553111722,0.0,0.01625
clean,24,396099,rossi,4001.0,153.0,1067.57,1427.0,127.0,1462.0,0.03824043989002749,0.26682579355161207,0.3566608347913022,0.03174206448387903,0.3655
clean,24,396099,threshold,4001.0,0.0,1430.5,24.0,0.0,48.0,0.0,0.357535616095976,0.005998500374906273,0.0,0.012
clean,25,432108,rossi,4001.0,149.0,989.4599999999999,1504.0,132.0,1539.0,0.03724068982754311,0.24730317420644837,0.3759060234941265,0.03299175206198451,0.38475
clean,25,432108,threshold,4001.0,0.0,1306.9,32.0,0.0,64.0,0.0,0.3266433391652087,0.007998000499875032,0.0,0.016
clean,26,436109,rossi,4001.0,117.0,1016.2599999999999,1109.0,84.0,1149.0,0.029242689327668082,0.2540014996250937,0.27718070482379403,0.020994751312171957,0.28725
clean,26,436109,threshold,4001.0,2.0,1365.0,29.0,0.0,53.0,0.0004998750312421895,0.3411647088227943,0.007248187953011747,0.0,0.01325
clean,27,456114,rossi,4001.0,102.0,1040.78,1224.0,54.0,1271.0,0.02549362659335166,0.26012996750812295,0.3059235191202199,0.013496625843539115,0.31775
clean,27,456114,threshold,4001.0,3.0,1390.5,31.0,0.0,55.0,0.0007498125468632841,0.3475381154711322,0.007748062984253936,0.0,0.01375
clean,28,492123,rossi,4001.0,120.0,936.2099999999999,950.0,110.0,1002.0,0.02999250187453137,0.23399400149962507,0.23744063984004,0.02749312671832042,0.2505
clean,28,492123,threshold,4001.0,2.0,1243.7,33.0,0.0,63.0,0.0004998750312421895,0.31084728817795554,0.008247938015496127,0.0,0.01575
clean,29,512128,rossi,4001.0,110.0,738.6400000000001,883.0,100.0,950.0,0.02749312671832042,0.18461384653836543,0.22069482629342665,0.02499375156210947,0.2375
clean,29,512128,threshold,4001.0,1.0,986.2,23.0,0.0,43.0,0.00024993751562109475,0.24648837790552364,0.005748562859285179,0.0,0.01075
