curve,magnitude,window_index,offset,rossi_total_cost,comparator_total_cost,delta_comparator_minus_rossi
p1_threshold,20,2,36009,147.8662,1303.281,1155.4148
p1_threshold,20,3,56014,155.5651,1124.8739999999998,969.3088999999998
p1_threshold,20,4,60015,173.04199999999997,1261.116,1088.074
p1_threshold,20,5,76019,165.0263,1319.3729999999998,1154.3466999999998
p1_threshold,20,6,84021,170.35679999999996,1470.5819999999999,1300.2251999999999
p1_threshold,20,7,96024,187.18589999999998,1328.112,1140.9261000000001
p1_threshold,20,8,116029,163.25269999999998,1298.97,1135.7173
p1_threshold,20,9,120030,158.9135,1285.9649999999997,1127.0514999999996
p1_threshold,20,10,148037,154.7161,1253.2949999999998,1098.5788999999997
p1_threshold,20,11,152038,177.47709999999998,1290.2669999999998,1112.7898999999998
p1_threshold,20,12,180045,167.8958,1279.1339999999998,1111.2381999999998
p1_threshold,20,13,184046,159.4373,1330.965,1171.5276999999999
p1_threshold,20,14,192048,167.33489999999998,1329.8939999999998,1162.5590999999997
p1_threshold,20,15,224056,173.01229999999998,1318.212,1145.1997000000001
p1_threshold,20,16,240060,147.352,1218.4649999999997,1071.1129999999996
p1_threshold,20,17,248062,154.87630000000001,1322.7479999999998,1167.8716999999997
p1_threshold,20,18,256064,145.1475,1336.4009999999998,1191.2534999999998
p1_threshold,20,19,260065,146.27149999999997,1216.5389999999998,1070.2674999999997
p1_threshold,20,20,276069,153.3817,1314.225,1160.8433
p1_threshold,20,21,348087,130.2808,1213.7219999999998,1083.4411999999998
p1_threshold,20,22,380095,125.7347,1229.1479999999997,1103.4132999999997
p1_threshold,20,23,392098,151.6565,1292.922,1141.2655
p1_threshold,20,24,396099,193.3365,1381.5449999999998,1188.2084999999997
p1_threshold,20,25,432108,166.35229999999999,1286.685,1120.3327
p1_threshold,20,26,436109,142.79479999999998,1382.562,1239.7672
p1_threshold,20,27,456114,161.10999999999996,1315.4219999999998,1154.312
p1_threshold,20,28,492123,150.3029,1209.06,1058.7571
p1_threshold,20,29,512128,127.38999999999999,1050.6059999999998,923.2159999999998
p1_threshold,50,0,12003,168.363,1556.0369999999998,1387.6739999999998
p1_threshold,50,1,28007,152.66899999999998,1339.7669999999998,1187.098
p1_threshold,50,2,36009,154.21599999999998,1438.2179999999998,1284.002
p1_threshold,50,3,56014,156.2021,1276.6589999999999,1120.4569
p1_threshold,50,4,60015,179.22209999999998,1393.7309999999998,1214.5088999999998
p1_threshold,50,5,76019,165.35389999999998,1448.2079999999999,1282.8540999999998
p1_threshold,50,6,84021,170.8868,1607.706,1436.8192
p1_threshold,50,7,96024,172.146,1436.8319999999999,1264.686
p1_threshold,50,8,116029,173.13549999999998,1433.007,1259.8715000000002
p1_threshold,50,9,120030,153.8254,1456.9379999999996,1303.1125999999997
p1_threshold,50,10,148037,156.3655,1399.9679999999998,1243.6025
p1_threshold,50,11,152038,167.82920000000001,1422.8189999999997,1254.9897999999998
p1_threshold,50,12,180045,173.48829999999998,1433.8799999999999,1260.3917
p1_threshold,50,13,184046,157.98409999999998,1467.7469999999998,1309.7629
p1_threshold,50,14,192048,165.0958,1479.3659999999995,1314.2701999999995
p1_threshold,50,15,224056,169.05179999999996,1450.638,1281.5862
p1_threshold,50,16,240060,159.4536,1375.6139999999998,1216.1603999999998
p1_threshold,50,17,248062,148.9875,1477.3139999999999,1328.3265
p1_threshold,50,18,256064,160.2656,1492.0379999999998,1331.7723999999998
p1_threshold,50,19,260065,155.194,1361.8889999999997,1206.6949999999997
p1_threshold,50,20,276069,169.8451,1451.9789999999998,1282.1338999999998
p1_threshold,50,21,348087,133.44369999999998,1352.223,1218.7793
p1_threshold,50,22,380095,143.35989999999998,1372.5,1229.1401
p1_threshold,50,23,392098,168.9991,1435.455,1266.4559
p1_threshold,50,24,396099,185.0629,1516.8959999999997,1331.8330999999998
p1_threshold,50,25,432108,166.0707,1439.1359999999997,1273.0652999999998
p1_threshold,50,26,436109,160.20980000000003,1528.1369999999997,1367.9271999999996
p1_threshold,50,27,456114,162.04359999999997,1463.7509999999997,1301.7073999999998
p1_threshold,50,28,492123,165.31369999999998,1367.397,1202.0833
p1_threshold,50,29,512128,121.81219999999999,1159.83,1038.0177999999999
p1_hpa_v2,0,0,12003,218.3743,186.399,-31.975300000000004
p1_hpa_v2,0,1,28007,193.74349999999998,161.154,-32.58949999999999
p1_hpa_v2,0,2,36009,201.1453,173.889,-27.25629999999998
p1_hpa_v2,0,3,56014,199.1798,151.74900000000002,-47.43079999999998
p1_hpa_v2,0,4,60015,216.89069999999998,183.87900000000002,-33.01169999999996
p1_hpa_v2,0,5,76019,207.0815,181.98900000000003,-25.092499999999973
p1_hpa_v2,0,6,84021,229.52589999999998,201.474,-28.05189999999999
p1_hpa_v2,0,7,96024,222.5847,181.98900000000003,-40.595699999999965
p1_hpa_v2,0,8,116029,200.50019999999998,172.80900000000003,-27.691199999999952
p1_hpa_v2,0,9,120030,198.69279999999998,182.34900000000002,-16.34379999999996
p1_hpa_v2,0,10,148037,208.0651,174.834,-33.2311
p1_hpa_v2,0,11,152038,206.97209999999998,187.25400000000002,-19.718099999999964
p1_hpa_v2,0,12,180045,209.81920000000002,171.729,-38.09020000000001
p1_hpa_v2,0,13,184046,223.47009999999997,186.71400000000006,-36.75609999999992
p1_hpa_v2,0,14,192048,203.9013,187.65900000000002,-16.24229999999997
p1_hpa_v2,0,15,224056,214.37720000000002,186.53400000000005,-27.843199999999968
p1_hpa_v2,0,16,240060,192.58999999999997,166.19400000000002,-26.395999999999958
p1_hpa_v2,0,17,248062,182.12969999999999,158.54399999999998,-23.585700000000003
p1_hpa_v2,0,18,256064,195.54919999999998,172.04400000000004,-23.505199999999945
p1_hpa_v2,0,19,260065,204.02569999999997,154.494,-49.53169999999997
p1_hpa_v2,0,20,276069,209.8825,179.01900000000003,-30.86349999999996
p1_hpa_v2,0,21,348087,169.67329999999998,142.11899999999997,-27.554300000000012
p1_hpa_v2,0,22,380095,188.1717,160.25400000000002,-27.917699999999968
p1_hpa_v2,0,23,392098,223.3544,171.68400000000003,-51.67039999999997
p1_hpa_v2,0,24,396099,235.05129999999997,176.31900000000002,-58.73229999999995
p1_hpa_v2,0,25,432108,224.47140000000002,159.714,-64.75740000000002
p1_hpa_v2,0,26,436109,197.60339999999997,181.449,-16.154399999999953
p1_hpa_v2,0,27,456114,186.01019999999997,185.90400000000002,-0.10619999999994434
p1_hpa_v2,0,28,492123,193.3589,165.78900000000004,-27.56989999999996
p1_hpa_v2,0,29,512128,166.4776,130.014,-36.463599999999985
p1_hpa_v2,1,0,12003,139.04629999999997,186.53400000000002,47.487700000000046
p1_hpa_v2,1,1,28007,144.7745,161.559,16.78450000000001
p1_hpa_v2,1,2,36009,139.9368,172.80900000000003,32.87220000000002
p1_hpa_v2,1,3,56014,131.4716,152.289,20.817399999999992
p1_hpa_v2,1,4,60015,144.6001,184.28400000000005,39.68390000000005
p1_hpa_v2,1,5,76019,126.16319999999999,189.23400000000004,63.07080000000005
p1_hpa_v2,1,6,84021,146.8469,197.06400000000002,50.217100000000016
p1_hpa_v2,1,7,96024,145.6444,180.23400000000004,34.58960000000005
p1_hpa_v2,1,8,116029,131.5254,173.61900000000003,42.09360000000004
p1_hpa_v2,1,9,120030,138.2758,181.71900000000005,43.44320000000005
p1_hpa_v2,1,10,148037,129.7908,175.779,45.988200000000006
p1_hpa_v2,1,11,152038,139.92989999999998,187.25400000000002,47.324100000000044
p1_hpa_v2,1,12,180045,170.2896,171.32400000000004,1.0344000000000335
p1_hpa_v2,1,13,184046,142.1101,185.90400000000002,43.793900000000036
p1_hpa_v2,1,14,192048,142.21269999999998,187.79400000000004,45.581300000000056
p1_hpa_v2,1,15,224056,154.0741,189.09900000000005,35.02490000000006
p1_hpa_v2,1,16,240060,130.46359999999999,171.324,40.86040000000003
p1_hpa_v2,1,17,248062,135.89480000000003,154.629,18.73419999999996
p1_hpa_v2,1,18,256064,133.1049,173.79900000000004,40.69410000000005
p1_hpa_v2,1,19,260065,138.569,154.49400000000003,15.92500000000004
p1_hpa_v2,1,20,276069,126.4164,173.394,46.97760000000001
